website-url,category,products-link-href,products-name
https://sindabad.com/,Industrial Items,https://sindabad.com/berger-robbialac-supper-gloss-synthetic-enamel-paint-3-64-liter-gorgian-green.html,"Berger Robbialac Supper Gloss Synthetic Enamel Paint, 3.64 Liter, Gorgian Green"
https://sindabad.com/,Grocery & Essentials,https://sindabad.com/olympic-lexus-biscuit-240gm-pack-of-12.html,"Olympic Lexus Biscuit, 240gm (Pack of 12)"
https://sindabad.com/,Mobile & Accessories,https://sindabad.com/maximus-p3-2gb-16gb-smartphone-gold.html,"Maximus P3, 2GB RAM, 16GB ROM Smartphone, Black"
https://sindabad.com/,Electrical & Lighting,https://sindabad.com/sq-bya-frls-cable-black-1x1-3-rm-3w.html,"SQ BYA FRLS Cable, Black, 1X1.3 rm, 3W"
https://sindabad.com/,Industrial Items,https://sindabad.com/bd-safety-helmet-white.html,"BD Safety Helmet, White"
https://sindabad.com/,Electrical & Lighting,https://sindabad.com/delta-inverter-2-2-kw-440v-3-phase-vfd-b-series.html,"Delta Inverter, 2.2 kw, 440V, 3 Phase, VFD-B series"
https://sindabad.com/,Industrial Items,https://sindabad.com/amber-ply-board-18mmx4feetx8feet-unit-of-measure-piece.html,"Amber Ply Board, 18mm, 4x8Feet"
https://sindabad.com/,Electrical & Lighting,https://sindabad.com/capacitor-8-uf.html,Capacitor 8 UF
https://sindabad.com/,Industrial Items,https://sindabad.com/q-c-pass-sticker-1-10.html,"Q.C Pass Sticker, 1-10 (Pack of 10)"
https://sindabad.com/,Grocery & Essentials,https://sindabad.com/bashundhara-facial-tissue-120-piecesx2-ply.html,"Bashundhara Facial Tissue, 120 x2 Ply"
https://sindabad.com/,Grocery & Essentials,https://sindabad.com/trix-dishwashing-liquid-refill-250ml.html,"Trix Dishwashing Liquid Refill, 250ml"
https://sindabad.com/,Mobile & Accessories,https://sindabad.com/huawei-mediapad-t3-7-2gb-ram-16gb-rom-space-gray.html,"Huawei MediaPad T3 7, 2GB RAM, 16GB ROM, Space Gray"
https://sindabad.com/,Industrial Items,https://sindabad.com/brass-glove-valve-01-inch.html,"Brass Glove Valve, 01 Inch"
https://sindabad.com/,Computer & IT,https://sindabad.com/anpoll-compatible-toner-for-hp-26a-black.html,"Anpoll Compatible Toner For HP 26A, Black"
https://sindabad.com/,Personal Hygiene & Beauty,https://sindabad.com/pampers-diaper-large-8-count.html,"Pampers Diaper Large, 8 Count"
https://sindabad.com/,Grocery & Essentials,https://sindabad.com/arla-dano-instant-full-cream-milk-powder-bib-1kg.html,"Arla Dano Instant Full Cream Milk Powder, BIB, 1kg"
https://sindabad.com/,Industrial Items,https://sindabad.com/berger-robbialac-supper-gloss-synthetic-enamel-paint-3-64-liter-11.html,"Berger Robbialac Supper Gloss Synthetic Enamel Paint, Jet Black, 3.64 Liter"
https://sindabad.com/,Industrial Items,https://sindabad.com/berger-all-purpose-putty-20kg.html,"Berger All Purpose Putty, 20kg"
https://sindabad.com/,Electrical & Lighting,https://sindabad.com/brb-lovely-ceiling-fan-56-or-1400mm-white.html,"BRB Lovely Ceiling Fan, 56 inches, White"
https://sindabad.com/,Computer & IT,https://sindabad.com/huawei-wttx-router-b311as.html,"Huawei WTTx Router, B311As"
https://sindabad.com/,Industrial Items,https://sindabad.com/ms-nut-bolt-with-washer-16x125-mm.html,"MS Nut Bolt with Washer, 16x125 mm"
https://sindabad.com/,Industrial Items,https://sindabad.com/bench-grinder-machine-8inches.html,"Bench Grinder Machine, 8inches"
https://sindabad.com/,Stationery & Office,https://sindabad.com/deli-scissors-6014-8-inch.html,"Deli Scissors 6014, 8 Inch"
https://sindabad.com/,Industrial Items,https://sindabad.com/mitshoboshi-standard-v-belt-b-type-84-inches.html,"Mitshoboshi Standard V belt, B type, 84 Inches"
https://sindabad.com/,Electrical & Lighting,https://sindabad.com/copper-brazing-rod.html,Copper Brazing Rod
https://sindabad.com/,Grocery & Essentials,https://sindabad.com/tang-jar-750-gram-orange-flavor.html,"Tang Jar, 750 Gram, Orange Flavor"
https://sindabad.com/,Electrical & Lighting,https://sindabad.com/3-kva-ups-servicing-charge.html,3 KVA UPS Servicing Charge
https://sindabad.com/,Electronics & Appliances,https://sindabad.com/duranta-cb-optimus-s-spd-blue-by-cycle-26-inch.html,"Duranta CB Optimus S Spd Blue, by cycle 26 Inch"
https://sindabad.com/,Industrial Items,https://sindabad.com/vsl-ms-angle-2-inchesx-2-inches-5mm.html,"VSL MS Angle, 2 inchesx 2 inches, 5mm"
